Qwerty	Texter	Beaumont	TX 	4092239939			qwerty@hack.edu	A cat named Tabby was found by a ditch.
Dennis Diner	Beaumont	TX	4092257981			dmboling@lamar.edu	Tabby is yellow.
xJason Higdon	beaumont	tx	1111111111			higdoen@yay.edu		dog is a husky named Boo.
xVipul Praja	beaumont	tx 	3333333333			vipule@awesome.com	dog is black and named Awesome.
xDennis Huynh	beaumont	tx	1231212212			dennies@why.com		dog is a golden retriever name why.
zJason Higdon	beaumont	tx	1111111111			higdeon@yay.edu		dog is a husky named Loo.
zVipul Praja	beaumont	tx 	3333333333			vipuel@awesome.com	dog is black and named Wawesome.
zDennis Huynh	beaumont	tx	1231212212			dennisy@why.com		dog is a bichon frise name lewhy.
qJason Higdon	beaumont	tx	1111111111			higdofn@yay.edu		dog is a husky named Qoo.
qVipul Praja	beaumont	tx 	3333333333			vipulb@awesome.com	dog is brown and named Sawesome.
qDennis Huynh	beaumont	tx	1231212212			dennibs@why.com		dog is a golden retriever name phy.
qJason Higdon	beaumont	tx	1111111111			higdobn@yay.edu		dog is a husky named moo.
eVipul Praja	beaumont	tx 	3333333333			vipulb@awesome.com	dog is golden and named xawesome.
eDennis Huynh	beaumont	tx	1231212212			dennifs@why.com		dog is a golden retriever name cry.
eJason Higdon	beaumont	tx	1111111111			higdwon@yay.edu		dog is a husky named woo.
tVipul Praja	beaumont	tx 	3333333333			vipuwl@awesome.com	dog is white and named pawesome.
tDennis Huynh	beaumont	tx	1231212212			dennwis@why.com		dog is a golden retriever name mi.
tJason Higdon	beaumont	tx	1111111111			higdwon@yay.edu		dog is a husky named goo.
yVipul Praja	beaumont	tx 	3333333333			vipuwl@awesome.com	dog is black and named lawesome.
yDennis Huynh	beaumont	tx	1231212212			dennyis@why.com		dog is a golden retriever name lhy.
yJason Higdon	beaumont	tx	1111111111			higdwon@yay.edu		dog is a husky named soo.
jVipul Praja	beaumont	tx 	3333333333			vipuwl@awesome.com	dog is black and named rawesome.
jDennis Huynh	beaumont	tx	1231212212			dennirs@why.com		dog is a golden retriever name zhy.
jJason Higdon	beaumont	tx	1111111111			higdon@wyay.edu		dog is a husky named zoo.
mVipul Praja	beaumont	tx 	3333333333			vipule@awesome.com	dog is black and named gawesome.
mDennis Huynh	beaumont	tx	1231212212			dennise@why.com		dog is a golden retriever name khy.
mJason Higdon	beaumont	tx	1111111111			higdwon@yay.edu		dog is a shepherd named yoo.
gVipul Praja	beaumont	tx 	3333333333			viprul@awesome.com	dog is black and named nawesome.
gennis Huynh	beaumont	tx	1231212212			denenis@why.com		dog is a dalmation name bhy.
gason Higdon	beaumont	tx	1111111111			hiygdon@yay.edu		dog is a husky named noo.
iVipul Praja	beaumont	tx 	3333333333			vyipul@awesome.com	dog is black and named mawesome.
iFennis Huynh	beaumont	tx	1231212212			dtennis@why.com		dog is a golden retriever name rhy.
uason Higdon	beaumont	tx	1111111111			fhigdon@yay.edu		dog is a husky named coo.
uipul Praja	beaumont	tx 	3333333333			fvipul@awesome.com	dog is black and named Awesome.
kennis Huynh	beaumont	tx	1231212212			adennis@why.com		dog is a terrier name dhy.									
